"Cusip","Cusip.A"
"444482AB","5f541d10"
"444482AC","9408ceb5"
"44485HAA","f23e53f"
"445587AA","bf6cd524"
"445587AC","f2a4742f"
"446413AA","e1a560ba"
"446413AB","67311214"
"446413AC","ac6dc1b1"
"446413AD","b168f109"
"446413AG","37fc83a7"
"446413AH","c6aa3172"
"447009AC","e2b3b680"
"447009AF","b27e2733"
"447011AC","262db976"
"447011AG","bdbcfb60"
"447012AB","63fe6d30"
"447013AH","ecf4ec8"
"447015AA","efaf1687"
"44701DAB","9c1f527"
"44701QAD","ebc32975"
"44701QAF","a60b887e"
"44701QAG","6d575bdb"
"44701QAH","9c01e90e"
"44701QAK","1a959ba0"
"44701QAM","cccc78bd"
"44701QAP","738469f8"
"44701QAR","3e4cc8f3"
"44701QAT","e8152bee"
"44701QAU","2349f84b"
"44701QAV","a5dd8ae5"
"44701QAW","6e815940"
"44701QAX","9fd7eb95"
"44701QAY","548b3830"
"44701QAZ","d21f4a9e"
"44701QBA","8ae6a25b"
"44701QBB","c72d0f5"
"44701QBD","da2b33e8"
"44701RAC","78491e2e"
"44701RAE","ae10fd33"
"44701RAF","28848f9d"
"44701RAG","e3d85c38"
"447793AA","70c4a661"
"44779EAD","4a36afc5"
"448096AG","9f59a4a7"
"448850AB","fc188f73"
"448850AC","37445cd6"
"44890CAA","fd0645df"
"448924AD","25a86463"
"448947AB","e64f917"
"449086AD","cf381d8a"
"449130AD","64c0e1ee"
"449130AF","290840e5"
"44914KAE","3ac7d244"
"44914KAH","8659c19a"
"44914KAL","1dc8838c"
"44915JAA","7a87848f"
"449187AA","bc9de799"
"44919AAB","474d1963"
"44919AAC","8c11cac6"
"44919HAA","de9670e6"
"44919PAA","71c85a78"
"44919PAC","3c00fb73"
"44919PAD","2105cbcb"
"44919PAF","6ccd6ac0"
"449223AD","1603494d"
"449247AA","b19eaf8e"
"449247AB","370add20"
"449247AE","2a0fed98"
"44924SAC","a8f7a0c4"
"44924SAF","f83a3177"
"449294AE","55cf0d2c"
"44929HAE","ae3089f3"
"44929HAF","28a4fb5d"
"44929HAH","12ae9a2d"
"44929PAA","9affe17b"
"449425AA","8dbfa13e"
"449505AA","4c8be286"
"44950GAA","a2fe746b"
"44950GAB","246a06c5"
"449669AC","cec1944b"
"449669AJ","e9cec583"
"449669AK","22921626"
"449669CC","595e8562"
"449669CD","445bb5da"
"449669CF","99314d1"
"449669CG","c2cfc774"
"449669CJ","7e51d4aa"
"449669CK","b50d070f"
"449669CL","a80837b7"
"449669CM","6354e412"
"449669CN","e5c096bc"
"449669CP","dc1cf557"
"449681AA","982ef567"
"449681AC","d5e6546c"
"44980UAA","699ec98d"
"44980YAD","6efc4d71"
"44980YAG","e8683fdf"
"44981UAA","7ee5ddce"
"44984WAA","76579ffc"
"44984WAC","3b9f3ef7"
"44984WAE","edc6ddea"
"44986UAA","1a84b007"
"44986UAC","574c110c"
"44986UAD","4a4921b4"
"44988MAA","7d18410b"
"449934AA","a3903e53"
"449934AB","25044cfd"
"449934AC","ee589f58"
"449934AD","f35dafe0"
"45007PAA","b620983e"
"45007PAB","30b4ea90"
"450205AA","4ebf8b15"
"450295AE","798d7f58"
"450298AA","7919289f"
"450302AE","3029ab24"
"450302AF","b6bdd98a"
"45031TAC","e78ff546"
"45031TAF","b74264f5"
"45031TAH","8d480585"
"45031TAQ","a99156d6"
"45031TAR","2f052478"
"45031UAA","66ed54d3"
"45031UAB","e079267d"
"45031UAC","2b25f5d8"
"45031UAD","3620c560"
"45031UAF","7be8646b"
"45031UAG","b0b4b7ce"
"45031UAH","41e2051b"
"45031UAM","112f94a8"
"45031UAP","ae6785ed"
"45031UAR","e3af24e6"
"45031UAS","28f3f743"
"45031UAT","35f6c7fb"
"45031UAU","feaa145e"
"45031UAW","b362b555"
"45031UAX","42340780"
"45031UAZ","ffca68b"
"45031UBC","1acdef45"
"45031UBD","7c8dffd"
"45031UBG","815cad53"
"45031UBH","700a1f86"
"45031UBJ","3dc2be8d"
"45031UBK","f69e6d28"
"45031UBM","20c78e35"
"45031UBP","9f8f9f70"
"45031UBQ","54d34cd5"
"45031UBS","191bedde"
"45031UBT","41edd66"
"45031UBU","cf420ec3"
"45031UBX","73dc1d1d"
"45031UBY","b880ceb8"
"45031UBZ","3e14bc16"
"45031UCC","bcbae4f1"
"45031UCD","a1bfd449"
"450679BV","5ba17b57"
"450713AC","344afc9e"
"450713AJ","1345ad56"
"45071TAD","f3616584"
"45071TAE","383db621"
"450725AB","f41a79"
"450725AC","cba8c9dc"
"450725AD","d6adf964"
"45072PAA","1e6bc608"
"45072PAB","98ffb4a6"
"45072PAC","53a36703"
"45072PAD","4ea657bb"
"45072TAA","9a21c8f2"
"45073AAA","b901e3fe"
"45073HAA","a64ef8d5"
"450912AA","abe16db8"
"450912AB","2d751f16"
"450912AC","e629ccb3"
"450912AD","fb2cfc0b"
"450913AC","2a83cc2d"
"450913AE","fcda2f30"
"451663AA","33af84a2"
"451663AC","7e6725a9"
"45167RAD","6858a177"
"45169UAA","fa92e24f"
"45169UAC","b75a4344"
"45169UAD","aa5f73fc"
"45169UAE","6103a059"
"451702AA","63dd9688"
"45170RAA","b3363633"
"451713AA","b80c8255"
"451713AB","3e98f0fb"
"451713AC","f5c4235e"
"451713AD","e8c113e6"
"451713AE","239dc043"
"451734AC","d1f702c1"
"45174HAA","3a14adc"
"45174HAB","85353872"
"45174HAC","4e69ebd7"
"45174HAF","1ea47a64"
"452092BQ","867e45ad"
"452092BU","1def07bb"
"452092CF","3eda7c3a"
"452092CG","f586af9f"
"452092CK","82446fe4"
"452092CM","541d8cf9"
"452317AA","ac4f4ad4"
"452454AA","9df00742"
"452454AB","1b6475ec"
"45245EAE","669bd45a"
"45245EAF","e00fa6f4"
"45245EAG","2b537551"
"45248GAA","4e607666"
"452526AA","547606c8"
"452526AB","d2e27466"
"452540AD","b1cee776"
"452835AA","387c9ed8"
"452835AD","68b10f6b"
"452892AA","a7971d5f"
"45321TAC","91aff879"
"45321TAF","c16269ca"
"45321TAJ","b6a0a9b1"
"45322KAC","db9e73b"
"453258AF","1bca8d32"
"453258AG","d0965e97"
"45332JAA","63192d90"
"45338FAA","a198b241"
"45338FAC","ec50134a"
"45380RAA","1a51d47f"
"45380RAB","9cc5a6d1"
"455209AA","68473218"
"455665AJ","2fde0e64"
"455665AK","e482ddc1"
"45569LAA","29bfbbcd"
"455781AC","ab9be1fa"
"45579MAA","ad7d06d"
"456473AM","7ed89524"
"45661TAA","a4db554a"
"45661TAB","224f27e4"
"45661TAC","e913f441"
"45661TAD","f416c4f9"
"45661TAF","b9de65f2"
"45661TAH","83d40482"
"45661TAJ","ce1ca589"
"45661TAK","540762c"
"45661TAL","18454694"
"45661TAM","d3199531"
"45661YAA","3fde409b"
"456626AC","42506f42"
"45671XAA","1cb62b3b"
"45672NAA","9fef2f52"
"45672NAB","197b5dfc"
"45672NAD","cf22bee1"
"45672NAF","82ea1fea"
"45672NAG","49b6cc4f"
"45672WAA","fc1b0552"
"45688CAA","60cfeb90"
"457030AC","5fd4dd01"
"457030AD","42d1edb9"
"457030AF","f194cb2"
"457030AG","c4459f17"
"457030AH","35132dc2"
"457030AJ","78db8cc9"
"457153AD","5086f8ee"
"457153AF","1d4e59e5"
"457153AG","d6128a40"
"45721RAA","aad12377"
"45734SAA","c32e0d98"
"45763PAA","cfe9acf6"
"45763PAB","497dde58"
"45763PAC","82210dfd"
"45763PAE","5478eee0"
"45763PAF","d2ec9c4e"
"45763UAA","8709a292"
"45763UAC","cac10399"
"457659AH","54583f24"
"45765XAA","6f16cec9"
"45766QAC","41c482c"
"45766QAE","d245ab31"
"45767DAC","273c6320"
"45767DAD","3a395398"
"45767DAE","f165803d"
"45768VAC","c61b9aa7"
"45768VAD","db1eaa1f"
"45768YAC","1f3b880b"
"45768YAF","4ff619b8"
"45768YAG","84aaca1d"
"45768YAJ","3834d9c3"
"45768YAK","f3680a66"
"45771VAA","c8b2e6c9"
"45771VAB","4e269467"
"45773BAA","1eb5f19e"
"45773BAC","537d5095"
"45779GAA","c37b7564"
"457875AA","14c76396"
"457875AB","92531138"
"457983AC","af1b6ff5"
"457983AE","79428ce8"
"45809NAA","ad1081f0"
"45809NAB","2b84f35e"
"45809NAC","e0d820fb"
"45809NAD","fddd1043"
"45811BAC","e36dfc92"
"45811EAB","22f4262e"
"45811EAE","3ff11696"
"45812CAD","b4ff071"
"45812CAH","7c8d300a"
"45812CAL","e71c721c"
"45812CAQ","58546359"
"45812CAR","dec011f7"
"458204AD","681bfb7d"
"458204AF","25d35a76"
"458204AH","1fd93b06"
"458204AJ","52119a0d"
"458204AK","994d49a8"
"458204AL","84487910"
"458204AM","4f14aab5"
"458204AN","c980d81b"
"458204AP","f05cbbf0"
"458204AQ","3b006855"
"458206AA","7af36db3"
"458206AC","373bccb8"
"458207AA","b6596d2d"
"458207AC","fb91cc26"
"458207AD","e694fc9e"
"458207AF","ab5c5d95"
"458207AG","60008e30"
"458207AH","91563ce5"
"45820EAB","deb8896e"
"45820EAG","8e7518dd"
"45820EAH","7f23aa08"
"45820EAK","f9b7d8a6"
"45820EAL","e4b2e81e"
"45820EAS","16325850"
"45820EAU","c06bbb4d"
"45820EAV","46ffc9e3"
"45820EAX","7cf5a893"
"45821EAA","4f57ef83"
"45822CAA","b0b5dac1"
"45822CAB","3621a86f"
"45822EAB","f04ea1e8"
"45822EAC","3b12724d"
"45822EAD","261742f5"
"45822EAF","6bdfe3fe"
"45822EAH","51d5828e"
"45822EAJ","1c1d2385"
"45822EAK","d741f020"
"45823VAA","9395f1cd"
"45823VAC","de5d50c6"
"45823VAE","804b3db"
"45823VAF","8e90c175"
"45823WAA","5f3ff153"
"45824TAA","b5d19b79"
"45824TAC","f8193a72"
"45824TAD","e51c0aca"
"45824TAE","2e40d96f"
"45824TAF","a8d4abc1"
"45824TAG","63887864"
"45824TAK","144ab81f"
"45824TAL","94f88a7"
"45824TAM","c2135b02"
"45824TAN","448729ac"
"45824TAP","7d5b4a47"
"45824TAQ","b60799e2"
"45824TAR","3093eb4c"
"45824TAS","fbcf38e9"
"45824TAY","5a541b8f"
"45824TBA","843981e4"
"45827AAA","b80798f3"
"45827AAD","e8ca0940"
"458408AA","62670fc6"
"45840JAA","8c12992b"
"45840JAB","a86eb85"
"45840JAC","c1da3820"
"45841AAA","c603913e"
"45841AAC","8bcb3035"
"45844LAA","1791c1a0"
"45844LAC","5a5960ab"
"458654AA","7baa8ffb"
"458665AD","de402213"
"458665AE","151cf1b6"
"458665AG","58d450bd"
"458665AH","a982e268"
"458665AJ","e44a4363"
"458665AL","3213a07e"
"458665AN","7fdb0175"
"458665AP","4607629e"
"458665AR","bcfc395"
"45866VAB","567d6656"
"45867EAA","35a63673"
"45867EAB","b33244dd"
"45867UAA","491d0758"
"45867UAB","cf8975f6"
"45867XAE","4989509f"
"45867XAG","441f194"
"458702AB","9e04daa3"
"458702AD","485d39be"
"458743AA","89d6f99f"
"458743AB","f428b31"
"458743AC","c41e5894"
"458743AD","d91b682c"
"45874QAA","1b185e59"
"45874QAB","9d8c2cf7"
"458801AE","fc85b675"
"458801AF","7a11c4db"
"458801AL","db8ae7bd"
"458801AR","e2568456"
"458801AS","290a57f3"
"458801AV","79c7c640"
"458801AY","88917495"
"458801BB","d0689c50"
"45881KAA","4dff6d78"
"45881KAB","cb6b1fd6"
"45890MAB","f5bd692c"
"45903PAA","9081f7b7"
"459216AA","ac06a630"
"459216AD","fccb3783"
"459216AG","7a5f452d"
"45928HAA","b97f93c9"
"45928HAB","3febe167"
"45928HAH","9e70c201"
"459655AC","3b46f1ae"
"459902AF","dad277c6"
"459902AJ","ad10b7bd"
"459902AR","4295374b"
"459902AS","89c9e4ee"
"459902AT","94ccd456"
"46031KAA","7842a53a"
"460321AA","7c5f14a7"
"460321AC","3197b5ac"
"46034HAA","bc5ae796"
"46034HAB","3ace9538"
"460377AA","f0a7586f"
"460377AB","76332ac1"
"460599AA","20f1e188"
"460599AB","a6659326"
"460599AC","6d394083"
"460599AD","703c703b"
"460690AK","751262c6"
"460690AR","51cb3195"
"460690AU","4cce012d"
"460690AV","ca5a7383"
"460690BF","f8646b85"
"460690BG","3338b820"
"460915AB","502ec4ff"
"460915AH","f1b5e799"
"460915AM","a178762a"
"460915AN","27ec0484"
"460915AP","1e30676f"
"460915AR","53f8c664"
"460915AS","98a415c1"
"460919AA","8115a31e"
"460933AB","b8b7e5fe"
"460933AE","a5b2d546"
"460933AJ","54e46793"
"460933AK","9fb8b436"
"460933AL","82bd848e"
"46112NAA","cc549866"
"46112NAC","819c396d"
"46113VAC","39b907b0"
"46113VAD","24bc3708"
"461203AA","3ec08fa2"
"461203AB","b854fd0c"
"461204AB","b291f415"
"46122EAA","7a093f33"
"46122EAD","2ac4ae80"
"46122EAF","670c0f8b"
"46122EAG","ac50dc2e"
"46122EAK","db921c55"
"46122EAL","c6972ced"
"46124TAA","b902770c"
"46126PAA","13be5170"
"46126PAB","952a23de"
"46126PAF","ebb61c8"
"46126PAG","c5e7b26d"
"46126PAH","34b100b8"
"46186RAA","46b9c6c4"
"462044AD","a433f038"
"462044AE","6f6f239d"
"462213AJ","da9e0d23"
"462213AK","11c2de86"
"462230AB","96b4a02b"
"462613AB","3f262f34"
"462613AD","e97fcc29"
"462613AE","22231f8c"
"462613AF","a4b76d22"
"462613AG","6febbe87"
"462613AH","9ebd0c52"
"462613AK","18297efc"
"462613AL","52c4e44"
"462613AM","ce709de1"
"46261QAA","2b7cfa5c"
"46261QAB","ade888f2"
"462622AC","15dc0ca"
"462622AD","1c58f072"
"46262EAC","a7c85843"
"46262EAE","7191bb5e"
"46262EAF","f705c9f0"
"46263YAF","cb6af9d7"
"462651AA","a67b0beb"
"46268KAJ","639127"
"46268KAK","cb3f4282"
"462691AA","404ff8ff"
"462691AB","c6db8a51"
"46269CAA","ae3a6e12"
"462846AA","a50c2602"
"462846AB","239854ac"
"462846AC","e8c48709"
"46284PAA","b3888f3e"
"46284PAD","e3451e8d"
"46284PAF","ae8dbf86"
"46284PAH","9487def6"
"46284PAL","f169ce0"
"46284PAM","c44a4f45"
"46284PAN","42de3deb"
"46284PAP","7b025e00"
"46284PAQ","b05e8da5"
"46284VAA","75e786b9"
"46284VAB","f373f417"
"46284VAC","382f27b2"
"46284VAE","ee76c4af"
"46289RAA","e26f14"
"463220AA","c6d51906"
"46422WAA","35c0a527"
"464592AB","4bd6fcf2"
"464592AC","808a2f57"
"464592AD","9d8f1fef"
"464592AE","56d3cc4a"
"464592AG","1b1b6d41"
"464592AK","6cd9ad3a"
"464592AL","71dc9d82"
"464592AM","ba804e27"
"464592AN","3c143c89"
"464592AP","5c85f62"
"464592AQ","ce948cc7"
"464592AR","4800fe69"
"46489NAB","45d7f39d"
"46489NAD","938e1080"
"465077AB","ec533d80"
"465077AE","f1560d38"
"46507MAA","5757c276"
"46507MAB","d1c3b0d8"
"46507VAB","f0129da5"
"46507VAD","264b7eb8"
"46521PAA","c7064f3b"
"465349AA","adf7dada"
"465676AA","ab733ff7"
"465740AA","bb53618b"
"465741AF","6afc51ad"
"465741AH","50f630dd"
"465851AB","171d5c75"
"465856AA","9b4c27c2"
"46590GAA","5ee398bd"
"46607RAA","6b2e87f0"
"466110AA","65383282"
"466112AA","271d35ff"
"466112AC","6ad594f4"
"466112AF","3a180547"
"46611CAA","47e7a4f1"
"46611EAA","8188ad76"
"46612GAB","7cb4e460"
"46612HAC","6ec82569"
"46612HAD","73cd15d1"
"46612HAE","b891c674"
"46612KAA","ad8f8381"
"46612KAB","2b1bf12f"
"46614GAA","893aef44"
"46614GAC","c4f24e4f"
"46616WAA","db77f6e9"
"46620QAB","3a14f49"
"466210AA","8e0f8981"
"466210AB","89bfb2f"
"466210AC","c3c7288a"
"466210AE","159ecb97"
"46621GAA","289a1108"
"46623YAA","6f5d1a97"
"466253AA","5d6cdf6e"
"46627TAB","2f202ce4"
"46627TAD","f979cff9"
"466313AB","69d697f2"
"466313AC","a28a4457"
"466313AD","bf8f74ef"
"466313AE","74d3a74a"
"466313AF","f247d5e4"
"466313AG","391b0641"
"466354AA","b86bbd49"
"466355AE","ef50ffc1"
"466355AF","69c48d6f"
"46647DAA","d8111f26"
"46647DAB","5e856d88"
"46648XAA","2cbcf493"
"468694AC","a7c80f14"
"469815AA","4235e3ea"
"469815AB","c4a19144"
"469815AE","d9a4a1fc"
"469815AG","946c00f7"
"469815AH","653ab222"
"469856AA","9156b505"
"469856AD","c19b24b6"
"469856AE","ac7f713"
"469865AA","26548e23"
"469865AB","a0c0fc8d"
"470079AB","132bcf9f"
"47007PAC","17d3a7aa"
"47009LAA","b9cdf957"
"47009RAA","d0fcda4e"
"47009WAA","981cd42a"
"47009XAA","413cc686"
"47009XAB","c7a8b428"
"47010BAA","ef263600"
"47010BAB","69b244ae"
"47010BAD","bfeba7b3"
"47010BAE","74b77416"
"47010BAF","f22306b8"
"47010DAA","29493f87"
"47030UAA","9dadde0f"
"47032FAA","416fc041"
"47032FAB","c7fbb2ef"
"470355AA","7d13bfb"
"470355AG","d188d8e6"
"470357AA","45f43c86"
"471109AB","590616a8"
"471109AC","925ac50d"
"471109AD","8f5ff5b5"
"471109AE","44032610"
"471109AN","2ec4d6d3"
"47116RAA","2109a161"
"47214RAD","c6d07e55"
"47215QAA","fe9fc46"
"47215QAC","42215d4d"
"47215QAD","5f246df5"
"47215QAF","12ecccfe"
"47215YAA","dc0ce7f3"
"47508XAA","27107e87"
"47508XAB","a1840c29"
"47508XAC","6ad8df8c"
"47508XAD","77ddef34"
"475793AA","5f36cd50"
"475795AC","d49165dc"
"475795AD","c9945564"
"47758PAB","cc246519"
"47758PAC","778b6bc"
"47758PAE","d12155a1"
"47758PAH","6dbf467f"
"47758RAA","89510ca"
"47758RAD","58588179"
"47759YAA","428418df"
"478131AA","4eb77df3"
"479269AA","fd7c47ca"
"479269AB","7be83564"
"479269AE","66ed05dc"
"47926PAA","32d8fc5a"
"47926PAB","b44c8ef4"
"47926PAC","7f105d51"
"47987LAA","19955cb4"
"480081AF","f672c69c"
"480081AH","cc78a7ec"
"480081AK","4aecd542"
"48019TAA","8bc52786"
"48019TAB","d515528"
"48019TAF","96c0173e"
"480206AG","88c66e05"
"480206AH","7990dcd0"
"480206AJ","34587ddb"
"480206AK","ff04ae7e"
"480206AL","e2019ec6"
"480208AC","6dd3e21"
"48020UAA","fb2a40"
"480695AC","38903dd1"
"480695AD","25950d69"
"480695AJ","1f9f6c19"
"480695AN","840e2e0f"
"480829AA","be6b27fb"
"480829AC","f3a386f0"
"480829AD","eea6b648"
"480829AE","25fa65ed"
"48088LAA","cff53291"
"481086AA","203c20fd"
"481086AB","a6a85253"
"481087AA","ec962063"
"481087AC","a15e8168"
"481088AF","28b30277"
"481165AC","c47b36b9"
"481165AH","aebcc67a"
"481165AJ","e3746771"
"48123VAA","7677cea6"
"48123VAB","f0e3bc08"
"482047AB","15d4c7d8"
"482068AC","295e2e57"
"48207LAA","5bf70475"
"48207WAA","7a262908"
"482238AA","2af41a2e"
"482238AB","ac606880"
"482240AB","1be41efc"
"482240AD","cdbdfde1"
"482240AG","4b298f4f"
"482240AH","ba7f3d9a"
"482240AJ","f7b79c91"
"48238QAB","e5326f3"
"48238QAC","c50ff556"
"48238QAE","1356164b"
"48238QAF","95c264e5"
"48238TAA","c0275a39"
"482434AD","2088ee95"
"482434AE","ebd43d30"
"482434AF","6d404f9e"
"482434AG","a61c9c3b"
"48244LAA","6b9198ca"
"48244LAC","265939c1"
"48244LAE","f000dadc"
"482463AA","30173370"
"48247EAA","4d53bf24"
"48247EAC","9b1e2f"
"48250NAA","9b9aa585"
"48250NAB","1d0ed72b"
"48250NAC","d652048e"
"482539AA","48201c9"
"48253LAA","e0329e3d"
"482584AG","cb8b69d8"
"482584AL","a14c991b"
"482584AM","6a104abe"
"482584AN","ec843810"
"482584AP","d5585bfb"
"482584AQ","1e04885e"
"482584BA","2c3a9058"
"482584BB","aaaee2f6"
"482588AC","7b53e81"
"48258VAH","a8137ccb"
"48258WAF","5eb31d25"
"482620AP","2f0b649c"
"482620AS","a99f1632"
"482620AW","320e5424"
"482620AX","c358e6f1"
"482637AA","fa3fa8f8"
"482727AA","286d785"
"482727AB","8412a52b"
"482727AE","99179593"
"482732AC","10d56ca9"
"482732AE","c68c8fb4"
"48277XAA","41da20dd"
"48282AAB","1f2666b1"
"48282BAC","5af5b2f7"
"48283GAA","48a609db"
"482917AA","25c2dbf3"
"483007AC","42ea9ab1"
"483007AE","94b379ac"
"483007AF","12270b02"
"483007AH","282d6a72"
"483008AD","86cfb8a5"
"483008AE","4d936b00"
"483008AK","77990a70"
"48300TAA","51469ce2"
"485161AA","bd20eaca"
"485161AB","3bb49864"
"485161AC","f0e84bc1"
"485161AD","eded7b79"
"485161AE","26b1a8dc"
"485161AF","a025da72"
"485161AG","6b7909d7"
"485161AH","9a2fbb02"
"485161AJ","d7e71a09"
"485161AK","1cbbc9ac"
"485161AL","1bef914"
"485161AM","cae22ab1"
"485188AD","3a60bbc0"
"485188AE","f13c6865"
"485188AF","77a81acb"
"485188AG","bcf4c96e"
"485188AH","4da27bbb"
"485260AT","c9a6c27f"
"485260AY","7538d1a1"
"485260BG","7d0ca8d7"
"485260BH","8c5a1a02"
"485598AE","efacdc5c"
"48577PAA","bb042eeb"
"486107AC","dc7f5dcd"
"486168AB","bd19e54e"
"486168AC","764536eb"
"486168AD","6b400653"
"486168AE","a01cd5f6"
"48666KAA","fb8e1aea"
"48666KAB","7d1a6844"
"48666KAC","b646bbe1"
"48666KAD","ab438b59"
"48666KAE","601f58fc"
"48666KAF","e68b2a52"
"48666KAG","2dd7f9f7"
"48666KAH","dc814b22"
"48666KAJ","9149ea29"
"48666KAK","5a15398c"
"48666KAL","47100934"
"48666KAM","8c4cda91"
"48666KAN","ad8a83f"
"48666KAP","3304cbd4"
"48666KAQ","f8581871"
"48666KAR","7ecc6adf"
"48666KAT","a89589c2"
"48666KAU","63c95a67"
"48666KAV","e55d28c9"
"487251AC","7a3e75c6"
"487526AA","bb8eab64"
"487906AD","df89f2df"
"488044AB","79f498bf"
"488044AC","b2a84b1a"
"488360AE","257a3578"
"488360AF","a3ee47d6"
"488360AG","68b29473"
"488535AA","b1824c02"
"489399AB","39070efa"
"489399AC","f25bdd5f"
"489399AD","ef5eede7"
"489399AG","69ca9f49"
"489399AK","1e085f32"
"492386AD","99812023"
"492386AJ","a38b4153"
"492386AK","68d792f6"
"492386AR","4c0ec1a5"
"492386AS","87521200"
"492386AT","9a5722b8"
"492386AU","510bf11d"
"492520AD","c7ded37d"
"492520AE","c8200d8"
"492914AK","9173b319"
"492914AM","472a5004"
"492914AN","c1be22aa"
"492914AP","f8624141"
"492914AQ","333e92e4"
"492914AR","b5aae04a"
"492914AS","7ef633ef"
"492914AT","63f30357"
"493137AD","1205b19d"
"49313QAA","544c8912"
"49326RAB","fdf70213"
"49338PAA","1e46c76c"
"49338PAB","98d2b5c2"
"493738AA","96f642c5"
"49377PAA","c814a8c7"
"49427TAA","834c78fa"
"49427TAD","d381e949"
"494521AH","9403d9db"
"494553AB","13dc9009"
"494553AC","d88043ac"
"49455WAB","477d3e48"
"49455WAD","9124dd55"
"49455WAF","dcec7c5e"
"49456AAA","42b0488f"
"49456BAA","cc3f4f6c"
"49456BAB","4aab3dc2"
"494578AA","e6d4d677"
"49457QAA","29706de7"
"49457QAB","afe41f49"
"494580AB","6c1c70bd"
"494580AC","a740a318"
"494580AD","ba4593a0"
"494580AE","71194005"
"494580AF","f78d32ab"
"49460WAD","30842319"
"49460WAE","fbd8f0bc"
"49461BAB","c5fdeb08"
"49461BAE","d8f8dbb0"
"49461BAF","5e6ca91e"
"49461BAG","95307abb"
"49461BAH","6466c86e"
"496902AJ","3be20efa"
"496902AK","f0bedd5f"
"496902AN","a0734cec"
"496902AP","99af2f07"
"497125AA","a74f4092"
"497864AA","ca1c3aca"
"49835DAA","34d998ae"
"498904AB","43a8ae16"
"499040AD","71cce6f7"
"499040AH","60e268c"
"499040AL","9d9f649a"
"499040AM","56c3b73f"
"499040AN","d057c591"
"499040AP","e98ba67a"
"499248AF","eb148c74"
"49926AAA","6bf81ef1"
"50015QAA","fe8b758d"
"50015QAB","781f0723"
"50015QAD","ae46e43e"
"50015QAF","e38e4535"
"50015QAG","28d29690"
"50015QAH","d9842445"
"50048VAA","e3285087"
"500605AA","26185fa"
"500605AB","84f5f754"
"500605AC","4fa924f1"
"500605AE","99f0c7ec"
"500605AH","256ed432"
"500608AA","9964902b"
"500608AD","c9a90198"
"500657AA","ad3c7c8"
"500688AA","22bc3233"
"500688AB","a428409d"
"500750AB","6940d741"
"50076XAA","d5572224"
"50076XAB","53c3508a"
"50077BAA","2f571b84"
"50077BAC","629fba8f"
"50077BAD","7f9a8a37"
"50077BAF","32522b3c"
"50077BAK","8ecc38e2"
"50077BAL","93c9085a"
"50077BAM","5895dbff"
"50077DAA","e9381203"
"50077DAB","6fac60ad"
"50077DAC","a4f0b308"
"50077DAE","72a95015"
"501044AQ","5c617974"
"501044AX","7b6e28bc"
"501044BB","e8cb13dc"
"501044BC","2397c079"
"501044BF","735a51ca"
"50106GAA","539ec51a"
"50177WAA","da82fb0b"
"501786AA","197a94ff"
"501786AB","9feee651"
"501786AC","54b235f4"
"501786AG","cf2377e2"
"501786AH","3e75c537"
"501786AR","9c38e4ca"
"50178TAA","8bb43339"
"501797AJ","a86c70e1"
"501797AK","6330a344"
"501797AL","7e3593fc"
"501797AM","b5694059"
"501797AN","33fd32f7"
"501797AP","a21511c"
"501797AQ","c17d82b9"
"501813AA","c32774d"
"50182PAC","26134ddb"
"50186HAA","99699742"
"50186HAC","d4a13649"
"50187TAE","3e97e573"
"501889AA","3151ddde"
"501889AB","b7c5af70"
"501921AC","d59086c0"
"501940AC","6a20ffd4"
"501940AD","7725cf6c"
"501940AG","f1b1bdc2"
"501940AH","e70f17"
"501940AK","86737db9"
"501940AL","9b764d01"
"50200RAA","8d3de5de"
"502020AC","7ccdcb95"
"502079AA","64dd34fa"
"502079AB","e2494654"
"50212TAB","cf2dd4f"
"502160AK","22b073ca"
"502160AL","3fb54372"
"502160AM","f4e990d7"
"50217BAD","2ae843b1"
"50217BAF","6720e2ba"
"50218PAA","9b022b85"
"502210BA","3d959cfb"
"502413AC","c22450c9"
"502413AD","df216071"
"502413AF","92e9c17a"
"502413AG","59b512df"
"502413AJ","e52b0101"
"502413AK","2e77d2a4"
"502413AL","3372e21c"
"502413AN","7eba4317"
"502413AQ","8c3af359"
"502413AR","aae81f7"
"502413AS","c1f25252"
"502413AT","dcf762ea"
"502413AU","17abb14f"
"504195AB","7a5329f4"
"504195AC","b10ffa51"
"504195AD","ac0acae9"
"50419QAC","e5ae5410"
"50419QAD","f8ab64a8"
"50419QAE","33f7b70d"
"50419QAF","b563c5a3"
"505861AB","1c3b1cd5"
"505861AC","d767cf70"
"505861AD","ca62ffc8"
"505862AE","8fb12b8e"
"505903AC","99adab9"
"50730KAA","74a9d89f"
"50730KAB","f23daa31"
"50730KAD","2464492c"
"50730KAG","a2f03b82"
"50730KAH","53a68957"
"50730KAK","d532fbf9"
"50730KAL","c837cb41"
"50730KAM","36b18e4"
"50730KAN","85ff6a4a"
"50730KAP","bc2309a1"
"50730RAA","175df29f"
"50730RAB","91c98031"
"512815AB","4e8e260a"
"512815AE","538b16b2"
"513075AA","6959b21a"
"513075AC","24911311"
"513075AD","399423a9"
"513075AE","f2c8f00c"
"513075AG","bf005107"
"513075AH","4e56e3d2"
"513075AK","c8c2917c"
"513075AM","1e9b7261"
"513075AN","980f00cf"
"513075AP","a1d36324"
"513075AR","ec1bc22f"
